image name (matching Raise-1k),Prompt,Midjourney aspect ratio,Midjourney image choice,Glide/SD 1.x CFG scale,SD14 scale,Glide upsample temperature,Glide choice,SD 1.3 choice,SD 1.4 choice,sd2 resolution,sdxl width,sdxl height,sd2/sdxl steps,sd2/sdxl sampler,sd2/sdxl guider,sd2/sdxl guidance if vanilla scale,sdxl use refiner?,sdxl refiner steps,sdxl refiner sampler,sdxl refiner guider,sdxl refiner guidance if vanilla scale,sdxl finish denoising,dalle3 ar (not guaranteed),Firefly styles,Firefly aspect ratio,Firefly guide strength,Firefly creativity,Firefly exif mode,Firefly manual exif aperture,Firefly manual exif shutter speed,Firefly manual exif FOV,Firefly generation URL
r0b0e2ba5t,"branches of trees that surround a lake, in the style of romantic soft focus and ethereal light, italian landscapes, flickr, carl zeiss distagon t* 15mm f/2.8 ze, silhouette lighting, swiss style, playing with light and shadow",77:51,3,5.610608219,6.751009419,0.997,4,4,1,768,1472,704,43,HeunEDMSampler,IdentityGuider,,TRUE,34,HeunEDMSampler,VanillaCFG,,TRUE,4:5,harsh_light+wide_angle,landscape,50,6,manual,8,0.004,161,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=branches+of+trees+that+surround+a+lake%2C+in+the+style+of+romantic+soft+focus+and+ethereal+light%2C+italian+landscapes%2C+flickr%2C+carl+zeiss+distagon+t*+15mm+f/2.8+ze%2C+silhouette+lighting%2C+swiss+style%2C+playing+with+light+and+shadow&modelInputVersion=v2&aspectRatio=landscape&creativity=6&guideStrength=50&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A8%2C""focal_length""%3A161%2C""shutter_speed""%3A0.004}}&style=harsh_light&style=wide_angle"
r0b3979d0t,"a large group of people walking past a large building, in the style of madonna and child, depth of field, marble, wimmelbilder, sanctuary, candid shots, streaked",77:51,3,6.245048355,7.860516071,0.999,3,2,1,512,1408,704,33,EulerAncestralSampler,IdentityGuider,,TRUE,46,DPMPP2MSampler,VanillaCFG,,FALSE,1:2,low_lighting+shot_from_below,widescreen,100,7,manual,4,0.008,146,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+large+group+of+people+walking+past+a+large+building%2C+in+the+style+of+madonna+and+child%2C+depth+of+field%2C+marble%2C+wimmelbilder%2C+sanctuary%2C+candid+shots%2C+streaked&modelInputVersion=v2&aspectRatio=widescreen&creativity=7&guideStrength=100&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A4%2C""focal_length""%3A146%2C""shutter_speed""%3A0.008}}&style=low_lighting&style=shot_from_below"
r0b59fc2bt,"wooden window on a rustic stone wall, in the style of detailed drapery, xmaspunk, reflections and mirroring, swiss style, primitive figurines, cabincore",89:134,3,5.749022182,3.775644273,1,4,0,2,768,1600,640,50,LinearMultistepSampler,VanillaCFG,5.922338838,FALSE,,,,,,3:2,minimalism+bw+low_lighting+surface_detail,portrait,50,2,manual,1.4,0.0006,69,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=wooden+window+on+a+rustic+stone+wall%2C+in+the+style+of+detailed+drapery%2C+xmaspunk%2C+reflections+and+mirroring%2C+swiss+style%2C+primitive+figurines%2C+cabincore&modelInputVersion=v2&aspectRatio=portrait&creativity=2&guideStrength=50&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A1.4%2C""focal_length""%3A69%2C""shutter_speed""%3A0.0006}}&style=minimalism&style=bw&style=low_lighting&style=surface_detail"
r0b6e4254t,"this statue portrays a man on a horse surrounded by trees, in the style of noble figures, dark green and orange, fujifilm velvia, germanic art",51:77,4,8.694730465,5.016987482,0.995,4,5,2,768,704,1344,47,DPMPP2MSampler,VanillaCFG,5.48423172,TRUE,42,DPMPP2SAncestralSampler,VanillaCFG,3.197275775,TRUE,4:3,divine+golden_hour,widescreen,100,7,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=this+statue+portrays+a+man+on+a+horse+surrounded+by+trees%2C+in+the+style+of+noble+figures%2C+dark+green+and+orange%2C+fujifilm+velvia%2C+germanic+art&modelInputVersion=v2&aspectRatio=widescreen&creativity=7&guideStrength=100&exif={""mode""%3A""auto""}&style=divine&style=golden_hour"
r0b735401t,"a group of rocks covered with grass, in the style of peruvian landscapes, polished concrete, mountainous vistas, cabincore, grandeur of scale, anamorphic lens, beige and aquamarine",77:51,4,4.639814961,8.114581112,0.996,1,2,0,512,1344,768,41,LinearMultistepSampler,IdentityGuider,,FALSE,,,,,,4:3,cool_colors+harsh_light,landscape,100,6,manual,1.2,0.066,273,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+group+of+rocks+covered+with+grass%2C+in+the+style+of+peruvian+landscapes%2C+polished+concrete%2C+mountainous+vistas%2C+cabincore%2C+grandeur+of+scale%2C+anamorphic+lens%2C+beige+and+aquamarine&modelInputVersion=v2&aspectRatio=landscape&creativity=6&guideStrength=100&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A1.2%2C""focal_length""%3A273%2C""shutter_speed""%3A0.066}}&style=cool_colors&style=harsh_light"
r0b7b1156t,"large red flowers with yellow cores, in the style of 35mm lens, vibrant coloration, rounded",77:51,2,3.702299824,8.312716423,0.995,2,3,1,512,1472,704,39,EulerEDMSampler,VanillaCFG,5.590680495,FALSE,,,,,,9:16,shot_from_above,widescreen,0,6,manual,4,10,139,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=large+red+flowers+with+yellow+cores%2C+in+the+style+of+35mm+lens%2C+vibrant+coloration%2C+rounded&modelInputVersion=v2&aspectRatio=widescreen&creativity=6&guideStrength=0&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A4%2C""focal_length""%3A139%2C""shutter_speed""%3A10}}&style=shot_from_above"
r0bdc7894t,"a fly perched on the leaf of a flower, in the style of spiky mounds, overexposure, bokeh, whistlerian, striped arrangements, soft light, prairiecore, rough clusters",51:77,1,3.479122661,5.900860021,0.998,3,2,3,512,1600,640,45,LinearMultistepSampler,VanillaCFG,5.934152084,FALSE,,,,,,3:4,studio_light,square,50,4,manual,22,0.008,242,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=a+fly+perched+on+the+leaf+of+a+flower%2C+in+the+style+of+spiky+mounds%2C+overexposure%2C+bokeh%2C+whistlerian%2C+striped+arrangements%2C+soft+light%2C+prairiecore%2C+rough+clusters&modelInputVersion=v2&aspectRatio=square&creativity=4&guideStrength=50&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A22%2C""focal_length""%3A242%2C""shutter_speed""%3A0.008}}&style=studio_light"
r0c9910e4t,"this statue was created as a gift for a steward,, in the style of made of insects, realistic blue skies, dark green, thin steel forms, macro perspectives, elongated figures",134:89,3,4.252425019,5.015962652,0.998,2,0,1,768,704,1408,39,EulerEDMSampler,VanillaCFG,5.220622745,TRUE,38,EulerAncestralSampler,VanillaCFG,5.372900931,TRUE,3:4,otherworldly_depiction+shallow_depth_of_field,widescreen,42,9,manual,2.8,0.066,295,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=this+statue+was+created+as+a+gift+for+a+steward%2C%2C+in+the+style+of+made+of+insects%2C+realistic+blue+skies%2C+dark+green%2C+thin+steel+forms%2C+macro+perspectives%2C+elongated+figures&modelInputVersion=v2&aspectRatio=widescreen&creativity=9&guideStrength=42&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A2.8%2C""focal_length""%3A295%2C""shutter_speed""%3A0.066}}&style=otherworldly_depiction&style=shallow_depth_of_field"
r0cde6159t,"clouds are covering a body of water, in the style of snow scenes, light gray and green, sunrays shine upon it, whistlerian, shaky camera work, high-key lighting, webcam photography",77:51,3,3.727447935,2.88083881,1,4,1,2,512,1472,704,38,DPMPP2MSampler,VanillaCFG,4.118789614,TRUE,37,LinearMultistepSampler,IdentityGuider,5.214256148,TRUE,5:4,muted+surreal_lighting,widescreen,50,10,auto,,,,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=clouds+are+covering+a+body+of+water%2C+in+the+style+of+snow+scenes%2C+light+gray+and+green%2C+sunrays+shine+upon+it%2C+whistlerian%2C+shaky+camera+work%2C+high-key+lighting%2C+webcam+photography&modelInputVersion=v2&aspectRatio=widescreen&creativity=10&guideStrength=50&exif={""mode""%3A""auto""}&style=muted&style=surreal_lighting"
r0ce35df8t,"red poppies are growing out of rock near an ancient church, in the style of soft-focus portraits, light sky-blue and green, over, high contrast, archaeological object, poetcore, desertwave, soft-focus technique",77:51,3,7.233541288,3.505589593,0.998,4,1,3,768,896,1088,36,DPMPP2SAncestralSampler,VanillaCFG,2.800409289,TRUE,39,DPMPP2MSampler,VanillaCFG,4.269392213,TRUE,2:3,maximalism+warm_colors+surreal_lighting+landscape_photography,square,100,6,manual,16,1,14,"https://firefly.adobe.com/generate/images?style=photo&seed=42&seed=242&seed=4242&seed=2442&prompt=red+poppies+are+growing+out+of+rock+near+an+ancient+church%2C+in+the+style+of+soft-focus+portraits%2C+light+sky-blue+and+green%2C+over%2C+high+contrast%2C+archaeological+object%2C+poetcore%2C+desertwave%2C+soft-focus+technique&modelInputVersion=v2&aspectRatio=square&creativity=6&guideStrength=100&exif={""mode""%3A""manual""%2C""details""%3A{""aperture""%3A16%2C""focal_length""%3A14%2C""shutter_speed""%3A1}}&style=maximalism&style=warm_colors&style=surreal_lighting&style=landscape_photography"
